FID,Shape,kecamatan,kabupaten,provinsi,lat,lon,kategori
1487,"Point[X=108.672627800333, Y=-7.10201648876989, WKID=4326]",KARANG KANCANA,KUNINGAN,JAWA BARAT,-7.102016489,108.6726278,medium
1488,"Point[X=111.084272200302, Y=-7.95387359429088, WKID=4326]",TIRTOMOYO,WONOGIRI,JAWA TENGAH,-7.953873594,111.0842722,medium
1489,"Point[X=121.769684699589, Y=-2.38495817737794, WKID=4326]",BUNGKU BARAT,MOROWALI,SULAWESI TENGAH,-2.384958177,121.7696847,medium
1490,"Point[X=106.020912200438, Y=-5.92108888774192, WKID=4326]",PULOMERAK,KOTA CILEGON,BANTEN,-5.921088888,106.0209122,medium
1491,"Point[X=98.7843767000247, Y=1.7480348978923, WKID=4326]",SIBOLGA UTARA,KOTA SIBOLGA,SUMATERA UTARA,1.748034898,98.7843767,medium
1492,"Point[X=102.739885299567, Y=0.978228638940607, WKID=4326]",TEBING TINGGI,KEPULAUAN MERANTI,RIAU,0.978228639,102.7398853,medium
1493,"Point[X=112.594238200033, Y=-7.64281108206575, WKID=4326]",TRAWAS,MOJOKERTO,JAWA TIMUR,-7.642811082,112.5942382,medium
1494,"Point[X=114.169414599804, Y=-7.772602621114, WKID=4326]",JANGKAR,SITUBONDO,JAWA TIMUR,-7.772602621,114.1694146,medium
1495,"Point[X=117.395172100412, Y=0.908897143288584, WKID=4326]",BENGALON,KUTAI TIMUR,KALIMANTAN TIMUR,0.908897143,117.3951721,medium
1496,"Point[X=102.554502900289, Y=0.889824076719833, WKID=4326]",TEBING TINGGI BARAT,KEPULAUAN MERANTI,RIAU,0.889824077,102.5545029,medium
1497,"Point[X=115.17800519988, Y=-3.15798712900278, WKID=4326]",HATUNGUN,TAPIN,KALIMANTAN SELATAN,-3.157987129,115.1780052,medium
1498,"Point[X=109.083897800343, Y=-7.34827974221628, WKID=4326]",PEKUNCEN,BANYUMAS,JAWA TENGAH,-7.348279742,109.0838978,medium
1499,"Point[X=97.6278480496478, Y=1.21601579739121, WKID=4326]",GUNUNGSITOLI SELATAN,KOTA GUNUNGSITOLI,SUMATERA UTARA,1.216015797,97.62784805,medium
1500,"Point[X=120.669425699736, Y=-2.54999003571152, WKID=4326]",BURAU,LUWU TIMUR,SULAWESI SELATAN,-2.549990036,120.6694257,medium
1501,"Point[X=104.685695499947, Y=-3.24783539268918, WKID=4326]",INDRALAYA,OGAN ILIR,SUMATERA SELATAN,-3.247835393,104.6856955,medium
1502,"Point[X=117.532551699801, Y=1.94876794838217, WKID=4326]",SAMBALIUNG,BERAU,KALIMANTAN TIMUR,1.948767948,117.5325517,medium
1503,"Point[X=110.555045299601, Y=0.00339183186758873, WKID=4326]",KAPUAS,SANGGAU,KALIMANTAN BARAT,0.003391832,110.5550453,medium
1504,"Point[X=112.460676200247, Y=-7.03242873040153, WKID=4326]",KARANGBINANGUN,LAMONGAN,JAWA TIMUR,-7.03242873,112.4606762,medium
1505,"Point[X=122.057353300315, Y=-3.85731128258959, WKID=4326]",UNAAHA,KONAWE,SULAWESI TENGGARA,-3.857311283,122.0573533,medium
1506,"Point[X=115.377332399571, Y=-8.51801052926248, WKID=4326]",BANJARANGKAN,KLUNGKUNG,BALI,-8.518010529,115.3773324,medium
1507,"Point[X=120.213399400262, Y=-3.03403730357866, WKID=4326]",WARA SELATAN,KOTA PALOPO,SULAWESI SELATAN,-3.034037304,120.2133994,medium
1508,"Point[X=112.705348800307, Y=-7.96026074223943, WKID=4326]",PAKIS,MALANG,JAWA TIMUR,-7.960260742,112.7053488,medium
1509,"Point[X=107.049977699711, Y=-5.99607138228839, WKID=4326]",MUARAGEMBONG,BEKASI,JAWA BARAT,-5.996071382,107.0499777,medium
1510,"Point[X=117.305411599766, Y=2.78899530269109, WKID=4326]",TANJUNG PALAS,BULUNGAN,KALIMANTAN UTARA,2.788995303,117.3054116,medium
1511,"Point[X=109.787331899747, Y=-7.63248874276121, WKID=4326]",PADURESO,KEBUMEN,JAWA TENGAH,-7.632488743,109.7873319,medium
1512,"Point[X=106.599911700265, Y=-7.20909898423071, WKID=4326]",WALURAN,SUKABUMI,JAWA BARAT,-7.209098984,106.5999117,medium
1513,"Point[X=122.598261499569, Y=-3.9575764879645, WKID=4326]",KENDARI,KOTA KENDARI,SULAWESI TENGGARA,-3.957576488,122.5982615,medium
1514,"Point[X=97.8057699700082, Y=3.48864436064878, WKID=4326]",BABUSSALAM,ACEH TENGGARA,ACEH,3.488644361,97.80576997,medium
1515,"Point[X=120.465615699805, Y=-6.11649939243296, WKID=4326]",BENTENG,KEPULAUAN SELAYAR,SULAWESI SELATAN,-6.116499392,120.4656157,medium
1516,"Point[X=119.455070899902, Y=-5.29335837279064, WKID=4326]",BAJENG,GOWA,SULAWESI SELATAN,-5.293358373,119.4550709,medium
1517,"Point[X=113.645977600086, Y=-1.4028357105995, WKID=4326]",RUNGAN,GUNUNG MAS,KALIMANTAN TENGAH,-1.402835711,113.6459776,medium
1518,"Point[X=125.022589499706, Y=1.62465619592678, WKID=4326]",LIKUPANG SELATAN,MINAHASA UTARA,SULAWESI UTARA,1.624656196,125.0225895,medium
1519,"Point[X=109.415635499779, Y=1.83053324531306, WKID=4326]",PALOH,SAMBAS,KALIMANTAN BARAT,1.830533245,109.4156355,medium
1520,"Point[X=111.122849099706, Y=-7.89554390003093, WKID=4326]",JATIROTO,WONOGIRI,JAWA TENGAH,-7.8955439,111.1228491,medium
1521,"Point[X=100.591312000049, Y=-0.171380024168741, WKID=4326]",PAYAKUMBUH,LIMA PULUH KOTA,SUMATERA BARAT,-0.171380024,100.591312,medium
1522,"Point[X=119.547671400215, Y=-5.36773306143158, WKID=4326]",POLOMBANGKENG UTARA,TAKALAR,SULAWESI SELATAN,-5.367733061,119.5476714,medium
1523,"Point[X=99.0613248000995, Y=2.94759304058641, WKID=4326]",SIANTAR SELATAN,KOTA PEMATANGSIANTAR,SUMATERA UTARA,2.947593041,99.0613248,medium
1524,"Point[X=119.40215469988, Y=-5.39930933585714, WKID=4326]",BONTONOMPO SELATAN,GOWA,SULAWESI SELATAN,-5.399309336,119.4021547,medium
1525,"Point[X=104.341148100105, Y=-4.96376541793961, WKID=4326]",SEKINCAU,LAMPUNG BARAT,LAMPUNG,-4.963765418,104.3411481,medium
1526,"Point[X=111.420911400041, Y=-7.55860657503337, WKID=4326]",KARANGREJO,MAGETAN,JAWA TIMUR,-7.558606575,111.4209114,medium
1527,"Point[X=103.458917999566, Y=-3.78051390759072, WKID=4326]",GUMAY TALANG,LAHAT,SUMATERA SELATAN,-3.780513908,103.458918,medium
1528,"Point[X=103.593207499626, Y=-1.5701776700634, WKID=4326]",DANAU TELUK,KOTA JAMBI,JAMBI,-1.57017767,103.5932075,medium
1529,"Point[X=109.212624999844, Y=-7.47694841383816, WKID=4326]",PATIKRAJA,BANYUMAS,JAWA TENGAH,-7.476948414,109.212625,medium
1530,"Point[X=114.174312400297, Y=-8.53538526122077, WKID=4326]",BANGOREJO,BANYUWANGI,JAWA TIMUR,-8.535385261,114.1743124,medium
1531,"Point[X=109.532572400196, Y=-7.16178197136082, WKID=4326]",KANDANGSERANG,PEKALONGAN,JAWA TENGAH,-7.161781971,109.5325724,medium
1532,"Point[X=125.944192600208, Y=-2.09195362286135, WKID=4326]",SANANA,KEPULAUAN SULA,MALUKU UTARA,-2.091953623,125.9441926,medium
1533,"Point[X=106.881819899569, Y=-6.85031831923499, WKID=4326]",CARINGIN,SUKABUMI,JAWA BARAT,-6.850318319,106.8818199,medium
1534,"Point[X=115.895268300292, Y=-3.55582841714767, WKID=4326]",KUSAN HILIR,TANAH BUMBU,KALIMANTAN SELATAN,-3.555828417,115.8952683,medium
1535,"Point[X=98.5716269704084, Y=2.94518466603955, WKID=4326]",PAMATANG SILIMA HUTA,SIMALUNGUN,SUMATERA UTARA,2.945184666,98.57162697,medium
1536,"Point[X=105.916710899888, Y=-2.1779479354488, WKID=4326]",MENDO BARAT,BANGKA,KEPULAUAN BANGKA BELITUNG,-2.177947935,105.9167109,medium
1537,"Point[X=108.613669200273, Y=-7.22864255361094, WKID=4326]",DAYEUHLUHUR,CILACAP,JAWA TENGAH,-7.228642554,108.6136692,medium
1538,"Point[X=112.839270400309, Y=-6.97261070222208, WKID=4326]",AROSBAYA,BANGKALAN,JAWA TIMUR,-6.972610702,112.8392704,medium
1539,"Point[X=110.600505600053, Y=-7.41007468170113, WKID=4326]",SUSUKAN,SEMARANG,JAWA TENGAH,-7.410074682,110.6005056,medium
1540,"Point[X=111.432899899811, Y=-7.64474812372686, WKID=4326]",BENDO,MAGETAN,JAWA TIMUR,-7.644748124,111.4328999,medium
1541,"Point[X=109.708426700032, Y=-7.63075707477913, WKID=4326]",ALIAN,KEBUMEN,JAWA TENGAH,-7.630757075,109.7084267,medium
1542,"Point[X=98.9446906699386, Y=2.32110549842008, WKID=4326]",MUARA,TAPANULI UTARA,SUMATERA UTARA,2.321105498,98.94469067,medium
1543,"Point[X=119.677370300099, Y=-5.29233310159134, WKID=4326]",MANUJU,GOWA,SULAWESI SELATAN,-5.292333102,119.6773703,medium
1544,"Point[X=117.448217399913, Y=0.0645132393945573, WKID=4326]",BONTANG SELATAN,KOTA BONTANG,KALIMANTAN TIMUR,0.064513239,117.4482174,medium
1545,"Point[X=107.522137000322, Y=-6.35580728108113, WKID=4326]",JATISARI,KARAWANG,JAWA BARAT,-6.355807281,107.522137,medium
1546,"Point[X=112.430154999654, Y=-8.32507987723449, WKID=4326]",DONOMULYO,MALANG,JAWA TIMUR,-8.325079877,112.430155,medium
1547,"Point[X=111.671749100041, Y=-8.07917038830271, WKID=4326]",KARANGAN,TRENGGALEK,JAWA TIMUR,-8.079170388,111.6717491,medium
1548,"Point[X=116.201158199891, Y=-1.2767015659245, WKID=4326]",LONG KALI,PASER,KALIMANTAN TIMUR,-1.276701566,116.2011582,medium
1549,"Point[X=110.774060999815, Y=-6.63779388418038, WKID=4326]",BATEALIT,JEPARA,JAWA TENGAH,-6.637793884,110.774061,medium
1550,"Point[X=110.975284000057, Y=-7.32511717231961, WKID=4326]",SUKODONO,SRAGEN,JAWA TENGAH,-7.325117172,110.975284,medium
1551,"Point[X=111.416840400264, Y=-2.47125717397932, WKID=4326]",KOTAWARINGIN LAMA,KOTAWARINGIN BARAT,KALIMANTAN TENGAH,-2.471257174,111.4168404,medium
1552,"Point[X=112.460438799911, Y=-7.17645323512863, WKID=4326]",SARIREJO,LAMONGAN,JAWA TIMUR,-7.176453235,112.4604388,medium
1553,"Point[X=113.140428999899, Y=-8.02293762167386, WKID=4326]",GUCIALIT,LUMAJANG,JAWA TIMUR,-8.022937622,113.140429,medium
1554,"Point[X=105.375359399617, Y=-5.14645636037267, WKID=4326]",BATANGHARI,LAMPUNG TIMUR,LAMPUNG,-5.14645636,105.3753594,medium
1555,"Point[X=110.754480200301, Y=-7.0520867376128, WKID=4326]",GODONG,GROBOGAN,JAWA TENGAH,-7.052086738,110.7544802,medium
1556,"Point[X=119.679323800253, Y=-5.04941672370279, WKID=4326]",SIMBANG,MAROS,SULAWESI SELATAN,-5.049416724,119.6793238,medium
1557,"Point[X=116.22114559999, Y=-8.67106936695768, WKID=4326]",JONGGAT,LOMBOK TENGAH,NUSA TENGGARA BARAT,-8.671069367,116.2211456,medium
1558,"Point[X=117.059671400115, Y=3.23813853656424, WKID=4326]",SEKATAK,BULUNGAN,KALIMANTAN UTARA,3.238138537,117.0596714,medium
1559,"Point[X=100.318807100367, Y=-0.334260733845724, WKID=4326]",IV KOTO,AGAM,SUMATERA BARAT,-0.334260734,100.3188071,medium
1560,"Point[X=112.520320199718, Y=-2.06716435295249, WKID=4326]",MENTAYA HULU,KOTAWARINGIN TIMUR,KALIMANTAN TENGAH,-2.067164353,112.5203202,medium
1561,"Point[X=109.321810899853, Y=-7.37932265931323, WKID=4326]",PADAMARA,PURBALINGGA,JAWA TENGAH,-7.379322659,109.3218109,medium
1562,"Point[X=105.593468200097, Y=-5.59864456379552, WKID=4326]",WAY PANJI,LAMPUNG SELATAN,LAMPUNG,-5.598644564,105.5934682,medium
1563,"Point[X=97.8569295899287, Y=3.53337309769034, WKID=4326]",DELENG POKHKISEN,ACEH TENGGARA,ACEH,3.533373098,97.85692959,medium
1564,"Point[X=98.4003530202757, Y=3.61330000908822, WKID=4326]",SELESAI,LANGKAT,SUMATERA UTARA,3.613300009,98.40035302,medium
1565,"Point[X=110.773682299798, Y=-6.53024197318848, WKID=4326]",BANGSRI,JEPARA,JAWA TENGAH,-6.530241973,110.7736823,medium
1566,"Point[X=99.644621560137, Y=2.98596617969548, WKID=4326]",KOTA KISARAN TIMUR,ASAHAN,SUMATERA UTARA,2.98596618,99.64462156,medium
1567,"Point[X=105.755413999756, Y=-6.72358998259159, WKID=4326]",CIBALIUNG,PANDEGLANG,BANTEN,-6.723589983,105.755414,medium
1568,"Point[X=111.232656799971, Y=-7.4095626230166, WKID=4326]",WIDODAREN,NGAWI,JAWA TIMUR,-7.409562623,111.2326568,medium
1569,"Point[X=133.76564679966, Y=-1.98607739165823, WKID=4326]",MANIMERI,TELUK BINTUNI,PAPUA BARAT,-1.986077392,133.7656468,medium
1570,"Point[X=106.636670700193, Y=-6.89073275301411, WKID=4326]",CIKIDANG,SUKABUMI,JAWA BARAT,-6.890732753,106.6366707,medium
1571,"Point[X=112.521100199715, Y=-7.5631931282602, WKID=4326]",KUTOREJO,MOJOKERTO,JAWA TIMUR,-7.563193128,112.5211002,medium
1572,"Point[X=124.822341899659, Y=1.3591880415949, WKID=4326]",TOMOHON UTARA,KOTA TOMOHON,SULAWESI UTARA,1.359188042,124.8223419,medium
1573,"Point[X=106.717483100265, Y=-7.26036760108389, WKID=4326]",KALIBUNDER,SUKABUMI,JAWA BARAT,-7.260367601,106.7174831,medium
1574,"Point[X=105.167025299878, Y=-4.83237279876562, WKID=4326]",WAY PANGUBUAN,LAMPUNG TENGAH,LAMPUNG,-4.832372799,105.1670253,medium
1575,"Point[X=100.519352500118, Y=-0.221596778668356, WKID=4326]",AKABILURU,LIMA PULUH KOTA,SUMATERA BARAT,-0.221596779,100.5193525,medium
1576,"Point[X=124.869207499626, Y=1.0091906584222, WKID=4326]",PUSOMAEN,MINAHASA TENGGARA,SULAWESI UTARA,1.009190658,124.8692075,medium
1577,"Point[X=100.661179100435, Y=-0.222209107264462, WKID=4326]",PAYAKUMBUH TIMUR,KOTA PAYAKUMBUH,SUMATERA BARAT,-0.222209107,100.6611791,medium
1578,"Point[X=121.804688300225, Y=-4.80244203187425, WKID=4326]",POLEANG TIMUR,BOMBANA,SULAWESI TENGGARA,-4.802442032,121.8046883,medium
1579,"Point[X=99.0489236104363, Y=2.92242664537343, WKID=4326]",SIANTAR MARIMBUN,KOTA PEMATANGSIANTAR,SUMATERA UTARA,2.922426645,99.04892361,medium
1580,"Point[X=107.908161999876, Y=-6.8359817741395, WKID=4326]",SUMEDANG UTARA,SUMEDANG,JAWA BARAT,-6.835981774,107.908162,medium
1581,"Point[X=107.517904399568, Y=-6.70367430162764, WKID=4326]",BOJONG,PURWAKARTA,JAWA BARAT,-6.703674302,107.5179044,medium
1582,"Point[X=113.74761170042, Y=-8.01854844625376, WKID=4326]",MAESAN,BONDOWOSO,JAWA TIMUR,-8.018548446,113.7476117,medium
1583,"Point[X=101.942533499721, Y=-2.07833778006443, WKID=4326]",SUNGAI MANAU,MERANGIN,JAMBI,-2.07833778,101.9425335,medium
1584,"Point[X=99.7867741404143, Y=1.16017424574488, WKID=4326]",LUBUK BARUMUN,PADANG LAWAS,SUMATERA UTARA,1.160174246,99.78677414,medium
1585,"Point[X=123.597527700243, Y=-8.36671014405783, WKID=4326]",LEBATUKAN,LEMBATA,NUSA TENGGARA TIMUR,-8.366710144,123.5975277,medium
1586,"Point[X=110.097089099982, Y=-7.21693558391001, WKID=4326]",JUMO,TEMANGGUNG,JAWA TENGAH,-7.216935584,110.0970891,medium
1587,"Point[X=114.992776299587, Y=-2.99002659065457, WKID=4326]",TAPIN TENGAH,TAPIN,KALIMANTAN SELATAN,-2.990026591,114.9927763,medium
1588,"Point[X=113.889145700014, Y=-7.98269472098451, WKID=4326]",PUJER,BONDOWOSO,JAWA TIMUR,-7.982694721,113.8891457,medium
1589,"Point[X=111.806850199577, Y=-7.60295942693597, WKID=4326]",WILANGAN,NGANJUK,JAWA TIMUR,-7.602959427,111.8068502,medium
1590,"Point[X=112.871171300315, Y=-7.66387001538885, WKID=4326]",POHJENTREK,PASURUAN,JAWA TIMUR,-7.663870015,112.8711713,medium
1591,"Point[X=102.564803500281, Y=-4.06756668405518, WKID=4326]",SELUMA,SELUMA,BENGKULU,-4.067566684,102.5648035,medium
1592,"Point[X=109.150381000083, Y=-6.91143855044868, WKID=4326]",TALANG,TEGAL,JAWA TENGAH,-6.91143855,109.150381,medium
1593,"Point[X=105.117755300367, Y=-5.39025306392773, WKID=4326]",GEDONG TATAAN,PESAWARAN,LAMPUNG,-5.390253064,105.1177553,medium
1594,"Point[X=108.524279499999, Y=-6.82501818584058, WKID=4326]",BEBER,CIREBON,JAWA BARAT,-6.825018186,108.5242795,medium
1595,"Point[X=111.705894599956, Y=-7.11301194184762, WKID=4326]",MALO,BOJONEGORO,JAWA TIMUR,-7.113011942,111.7058946,medium
1596,"Point[X=99.0334258903926, Y=2.56912430764072, WKID=4326]",LUMBAN JULU,TOBA SAMOSIR,SUMATERA UTARA,2.569124308,99.03342589,medium
1597,"Point[X=105.442759499551, Y=-4.95047877917227, WKID=4326]",RAMAN UTARA,LAMPUNG TIMUR,LAMPUNG,-4.950478779,105.4427595,medium
1598,"Point[X=104.382183299919, Y=-3.00961355502147, WKID=4326]",RANTAU BAYUR,BANYUASIN,SUMATERA SELATAN,-3.009613555,104.3821833,medium
1599,"Point[X=99.0202709195673, Y=3.32626027189406, WKID=4326]",DOLOK MASIHUL,SERDANG BEDAGAI,SUMATERA UTARA,3.326260272,99.02027092,medium
1600,"Point[X=124.524216299643, Y=1.05892348593017, WKID=4326]",MOTOLING TIMUR,MINAHASA SELATAN,SULAWESI UTARA,1.058923486,124.5242163,medium
1601,"Point[X=102.279203399617, Y=-3.80717413427885, WKID=4326]",RATU AGUNG,KOTA BENGKULU,BENGKULU,-3.807174134,102.2792034,medium
1602,"Point[X=106.03657419964, Y=-6.15358792194502, WKID=4326]",GUNUNG SARI,SERANG,BANTEN,-6.153587922,106.0365742,medium
1603,"Point[X=109.201356900201, Y=-7.58076261380353, WKID=4326]",SAMPANG,CILACAP,JAWA TENGAH,-7.580762614,109.2013569,medium
1604,"Point[X=98.8368322699934, Y=1.73477223684932, WKID=4326]",SARUDIK,TAPANULI TENGAH,SUMATERA UTARA,1.734772237,98.83683227,medium
1605,"Point[X=117.907215699745, Y=2.23303690133196, WKID=4326]",PULAU DERAWAN,BERAU,KALIMANTAN TIMUR,2.233036901,117.9072157,medium
1606,"Point[X=112.051214500349, Y=-7.58473596968918, WKID=4326]",BARON,NGANJUK,JAWA TIMUR,-7.58473597,112.0512145,medium
1607,"Point[X=101.782355199733, Y=0.491050231183294, WKID=4326]",KERINCI KANAN,SIAK,RIAU,0.491050231,101.7823552,medium
1608,"Point[X=124.576880100436, Y=-9.47521785611912, WKID=4326]",INSANA BARAT,TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR,-9.475217856,124.5768801,medium
1609,"Point[X=124.869340899663, Y=1.33781418187903, WKID=4326]",TOMOHON TIMUR,KOTA TOMOHON,SULAWESI UTARA,1.337814182,124.8693409,medium
1610,"Point[X=123.22859999989, Y=0.414574636310476, WKID=4326]",BONEPANTAI,BONE BOLANGO,GORONTALO,0.414574636,123.2286,medium
1611,"Point[X=108.274359999714, Y=-7.28030250685515, WKID=4326]",CIKONENG,CIAMIS,JAWA BARAT,-7.280302507,108.27436,medium
1612,"Point[X=113.002491499783, Y=-7.73814591170441, WKID=4326]",GRATI,PASURUAN,JAWA TIMUR,-7.738145912,113.0024915,medium
1613,"Point[X=110.670053799943, Y=-7.72519076124456, WKID=4326]",TRUCUK,KLATEN,JAWA TENGAH,-7.725190761,110.6700538,medium
1614,"Point[X=122.401858700019, Y=-4.08393468074087, WKID=4326]",RANOMEETO,KONAWE SELATAN,SULAWESI TENGGARA,-4.083934681,122.4018587,medium
1615,"Point[X=106.05552070012, Y=-6.04815279471563, WKID=4326]",CIBEBER,KOTA CILEGON,BANTEN,-6.048152795,106.0555207,medium
1616,"Point[X=104.749605000071, Y=-2.97271046301739, WKID=4326]",ILIR TIMUR I,KOTA PALEMBANG,SUMATERA SELATAN,-2.972710463,104.749605,medium
1617,"Point[X=110.82668560006, Y=-6.90685442629069, WKID=4326]",UNDAAN,KUDUS,JAWA TENGAH,-6.906854426,110.8266856,medium
1618,"Point[X=116.445780300321, Y=-1.47523270462557, WKID=4326]",BABULU,PENAJAM PASER UTARA,KALIMANTAN TIMUR,-1.475232705,116.4457803,medium
1619,"Point[X=106.930959400256, Y=-6.93725121287315, WKID=4326]",CITAMIANG,KOTA SUKABUMI,JAWA BARAT,-6.937251213,106.9309594,medium
1620,"Point[X=106.901599200143, Y=-6.59158129004447, WKID=4326]",BABAKAN MADANG,BOGOR,JAWA BARAT,-6.59158129,106.9015992,medium
1621,"Point[X=115.040022599663, Y=-8.45811456403584, WKID=4326]",SELEMADEG,TABANAN,BALI,-8.458114564,115.0400226,medium
1622,"Point[X=101.39661690045, Y=0.615314956020427, WKID=4326]",RUMBAI,KOTA PEKANBARU,RIAU,0.615314956,101.3966169,medium
1623,"Point[X=111.231232299931, Y=-2.60416705196781, WKID=4326]",SUKAMARA,SUKAMARA,KALIMANTAN TENGAH,-2.604167052,111.2312323,medium
1624,"Point[X=111.778558199801, Y=-8.23096158480922, WKID=4326]",BESUKI,TULUNGAGUNG,JAWA TIMUR,-8.230961585,111.7785582,medium
1625,"Point[X=108.479059000173, Y=-6.76193170838161, WKID=4326]",SUMBER,CIREBON,JAWA BARAT,-6.761931708,108.479059,medium
1626,"Point[X=102.9004286002, Y=-3.28793942816202, WKID=4326]",LUBUK LINGGAU TIMUR I,KOTA LUBUKLINGGAU,SUMATERA SELATAN,-3.287939428,102.9004286,medium
1627,"Point[X=102.132708000374, Y=-1.54781935937586, WKID=4326]",RIMBO TENGAH,BUNGO,JAMBI,-1.547819359,102.132708,medium
1628,"Point[X=106.948116599701, Y=-6.9413884621078, WKID=4326]",CIBEUREUM,KOTA SUKABUMI,JAWA BARAT,-6.941388462,106.9481166,medium
1629,"Point[X=119.412091399998, Y=-5.23343083866223, WKID=4326]",BAROMBONG,GOWA,SULAWESI SELATAN,-5.233430839,119.4120914,medium
1630,"Point[X=122.078265699902, Y=0.691379746877885, WKID=4326]",DENGILO,PAHUWATO,GORONTALO,0.691379747,122.0782657,medium
1631,"Point[X=111.858540500444, Y=-8.03758797620407, WKID=4326]",KAUMAN,TULUNGAGUNG,JAWA TIMUR,-8.037587976,111.8585405,medium
1632,"Point[X=110.934501599669, Y=-6.80051471328335, WKID=4326]",JEKULO,KUDUS,JAWA TENGAH,-6.800514713,110.9345016,medium
1633,"Point[X=107.454824800124, Y=-6.54009792407987, WKID=4326]",PURWAKARTA,PURWAKARTA,JAWA BARAT,-6.540097924,107.4548248,medium
1634,"Point[X=112.175591099949, Y=-8.10500770114447, WKID=4326]",SANANWETAN,KOTA BLITAR,JAWA TIMUR,-8.105007701,112.1755911,medium
1635,"Point[X=110.893409800122, Y=-6.93562969565386, WKID=4326]",SUKOLILO,PATI,JAWA TENGAH,-6.935629696,110.8934098,medium
1636,"Point[X=110.270962500019, Y=-7.59232643661574, WKID=4326]",MUNTILAN,MAGELANG,JAWA TENGAH,-7.592326437,110.2709625,medium
1637,"Point[X=105.260022500138, Y=-5.38948862220212, WKID=4326]",KEDATON,KOTA BANDAR LAMPUNG,LAMPUNG,-5.389488622,105.2600225,medium
1638,"Point[X=140.686385299742, Y=-2.5104687276496, WKID=4326]",JAYAPURA UTARA,KOTA JAYAPURA,PAPUA,-2.510468728,140.6863853,medium
1639,"Point[X=104.782209599793, Y=-2.92233194386409, WKID=4326]",SAKO,KOTA PALEMBANG,SUMATERA SELATAN,-2.922331944,104.7822096,medium
1640,"Point[X=107.024121000184, Y=-6.93683386988715, WKID=4326]",CIREUNGHAS,SUKABUMI,JAWA BARAT,-6.93683387,107.024121,medium
1641,"Point[X=111.460837299602, Y=-7.55518661876738, WKID=4326]",BARAT,MAGETAN,JAWA TIMUR,-7.555186619,111.4608373,medium
1642,"Point[X=135.917729000193, Y=-3.22116621864603, WKID=4326]",MAKIMI,NABIRE,PAPUA,-3.221166219,135.917729,medium
1643,"Point[X=114.67632719994, Y=-0.976709224251238, WKID=4326]",TEWEH TENGAH,BARITO UTARA,KALIMANTAN TENGAH,-0.976709224,114.6763272,medium
1644,"Point[X=98.7350692302608, Y=2.25286848309406, WKID=4326]",DOLOK SANGGUL,HUMBANG HASUNDUTAN,SUMATERA UTARA,2.252868483,98.73506923,medium
1645,"Point[X=117.453985999554, Y=0.141597257107776, WKID=4326]",BONTANG BARAT,KOTA BONTANG,KALIMANTAN TIMUR,0.141597257,117.453986,medium
1646,"Point[X=110.801605500194, Y=-6.72437916196873, WKID=4326]",NALUMSARI,JEPARA,JAWA TENGAH,-6.724379162,110.8016055,medium
1647,"Point[X=101.550575699609, Y=0.35057681197037, WKID=4326]",SIAK HULU,KAMPAR,RIAU,0.350576812,101.5505757,medium
1648,"Point[X=107.179216599966, Y=-6.43824581009602, WKID=4326]",BOJONGMANGU,BEKASI,JAWA BARAT,-6.43824581,107.1792166,medium
1649,"Point[X=110.746953499804, Y=-6.9007494802043, WKID=4326]",GAJAH,DEMAK,JAWA TENGAH,-6.90074948,110.7469535,medium
1650,"Point[X=112.339216700091, Y=-8.29306247365417, WKID=4326]",WATES,BLITAR,JAWA TIMUR,-8.293062474,112.3392167,medium
1651,"Point[X=103.432840199915, Y=0.948332638040881, WKID=4326]",KARIMUN,KARIMUN,KEPULAUAN RIAU,0.948332638,103.4328402,medium
1652,"Point[X=135.541684000416, Y=-3.37386148561905, WKID=4326]",NABIRE,NABIRE,PAPUA,-3.373861486,135.541684,medium
1653,"Point[X=111.679363100427, Y=-7.58543234082981, WKID=4326]",MEJAYAN,MADIUN,JAWA TIMUR,-7.585432341,111.6793631,medium
1654,"Point[X=106.565334899886, Y=-6.30427494703116, WKID=4326]",LEGOK,TANGERANG,BANTEN,-6.304274947,106.5653349,medium
1655,"Point[X=110.602873100413, Y=-6.98046684596812, WKID=4326]",GUNTUR,DEMAK,JAWA TENGAH,-6.980466846,110.6028731,medium
1656,"Point[X=108.535634799706, Y=-6.66559999464397, WKID=4326]",GUNUNG JATI,CIREBON,JAWA BARAT,-6.665599995,108.5356348,medium
1657,"Point[X=113.430149799574, Y=-7.7558338703368, WKID=4326]",KRAKSAAN,PROBOLINGGO,JAWA TIMUR,-7.75583387,113.4301498,medium
1658,"Point[X=105.274186399683, Y=-5.39179472764454, WKID=4326]",WAY HALIM,KOTA BANDAR LAMPUNG,LAMPUNG,-5.391794728,105.2741864,medium
1659,"Point[X=116.115098699945, Y=-8.6304825754105, WKID=4326]",LABUAPI,LOMBOK BARAT,NUSA TENGGARA BARAT,-8.630482575,116.1150987,medium
1660,"Point[X=110.246749500389, Y=-7.56781990006829, WKID=4326]",MUNGKID,MAGELANG,JAWA TENGAH,-7.5678199,110.2467495,medium
1661,"Point[X=101.796673799756, Y=0.734366692269077, WKID=4326]",KOTO GASIB,SIAK,RIAU,0.734366692,101.7966738,medium
1662,"Point[X=127.443905699988, Y=-0.557069440802024, WKID=4326]",BACAN,HALMAHERA SELATAN,MALUKU UTARA,-0.557069441,127.4439057,medium
